Category,Sum of Count of Brands,Sum of HUL Brands,Sum of P&G Brands,WEEK,SOURCE
Household,3,0,1,2016-10-15-2016-10-21,BigBasket-BLR
Household Detergents,3,0,1,2016-10-15-2016-10-21,BigBasket-BLR
Personal Care,3,0,1,2016-10-15-2016-10-21,BigBasket-BLR
Personal Care Cosmetics,3,0,0,2016-10-15-2016-10-21,BigBasket-BLR
Personal Care Personal Hygiene,1,0,0,2016-10-15-2016-10-21,BigBasket-BLR
Personal Care Skin Care,2,1,0,2016-10-15-2016-10-21,BigBasket-BLR
Promotions,185,6,0,2016-10-15-2016-10-21,BigBasket-BLR
Bath & Body,14,2,1,2016-10-01-2016-10-07,Nykaa
Fragrance,7,0,0,2016-10-01-2016-10-07,Nykaa
Hair,20,5,0,2016-10-01-2016-10-07,Nykaa
Herbal,16,2,0,2016-10-01-2016-10-07,Nykaa
Home Page,45,5,1,2016-10-01-2016-10-07,Nykaa
Makeup,18,4,0,2016-10-01-2016-10-07,Nykaa
offers,44,5,3,2016-10-01-2016-10-07,Nykaa
SALE,256,10,2,2016-10-01-2016-10-07,Nykaa
Skin,19,1,0,2016-10-01-2016-10-07,Nykaa
Wellness,15,1,0,2016-10-01-2016-10-07,Nykaa
Bath & Body,31,3,0,2016-10-08-2016-10-14,Nykaa
Fragrance,6,0,0,2016-10-08-2016-10-14,Nykaa
Hair,31,5,0,2016-10-08-2016-10-14,Nykaa
Herbal,38,3,0,2016-10-08-2016-10-14,Nykaa
Home Page,64,8,0,2016-10-08-2016-10-14,Nykaa
Makeup,36,6,0,2016-10-08-2016-10-14,Nykaa
Mom & Baby,10,0,0,2016-10-08-2016-10-14,Nykaa
SALE,376,24,2,2016-10-08-2016-10-14,Nykaa
Skin,35,2,0,2016-10-08-2016-10-14,Nykaa
Wellness,5,0,0,2016-10-08-2016-10-14,Nykaa
Bath & Body,11,1,1,2016-10-15-2016-10-21,Nykaa
Fragrance,9,0,0,2016-10-15-2016-10-21,Nykaa
Hair,10,3,0,2016-10-15-2016-10-21,Nykaa
Herbal,7,0,0,2016-10-15-2016-10-21,Nykaa
Home Page,33,8,0,2016-10-15-2016-10-21,Nykaa
Makeup,12,2,0,2016-10-15-2016-10-21,Nykaa
Mom & Baby,20,0,0,2016-10-15-2016-10-21,Nykaa
offers,56,10,1,2016-10-15-2016-10-21,Nykaa
SALE,292,16,2,2016-10-15-2016-10-21,Nykaa
Skin,15,4,1,2016-10-15-2016-10-21,Nykaa
Wellness,8,0,0,2016-10-15-2016-10-21,Nykaa
Beauty & Personal care,7,2,0,2016-10-01-2016-10-07,Snapdeal
