category,Count_of_Brands,HUL_Brands,PG_Brands,source,Week
Food & Gourment,2,0,0,SnapDeal,2016-10-01-2016-10-07
Food & Gourment,1,0,0,SnapDeal,2016-10-01-2016-10-07
Food & Gourment,2,0,0,SnapDeal,2016-10-01-2016-10-07
Subscribe & Save,6,2,2,Amazon,2016-10-01-2016-10-07
Subscribe & Save,1,0,1,Amazon,2016-10-01-2016-10-07
Subscribe & Save,4,4,0,Amazon,2016-10-01-2016-10-07
Subscribe & Save,1,0,1,Amazon,2016-10-01-2016-10-07
Subscribe & Save,3,3,0,Amazon,2016-10-01-2016-10-07
Subscribe & Save,1,0,0,Amazon,2016-10-01-2016-10-07
Subscribe & Save,1,0,1,Amazon,2016-10-01-2016-10-07
Subscribe & Save,1,0,1,Amazon,2016-10-01-2016-10-07
Subscribe & Save,1,0,0,Amazon,2016-10-01-2016-10-07
Men's Fragrances,1,0,0,SnapDeal,2016-10-01-2016-10-07
Wellness,11,1,0,Nykaa,2016-10-01-2016-10-07
Home Page,1,0,0,SnapDeal,2016-10-01-2016-10-07
Fragrance,1,0,0,Nykaa,2016-10-01-2016-10-07
Fragrance,2,0,0,Nykaa,2016-10-01-2016-10-07
Fragrance,1,0,0,Nykaa,2016-10-01-2016-10-07
Herbal,1,0,0,Nykaa,2016-10-01-2016-10-07
Herbal,11,1,0,Nykaa,2016-10-01-2016-10-07
Home page,1,0,0,SnapDeal,2016-10-01-2016-10-07
Home page,0,0,0,SnapDeal,2016-10-01-2016-10-07
Home page,1,0,0,SnapDeal,2016-10-01-2016-10-07
Home page,2,0,0,SnapDeal,2016-10-01-2016-10-07
Home page,0,0,0,SnapDeal,2016-10-01-2016-10-07
Home page,0,0,0,SnapDeal,2016-10-01-2016-10-07
Bath & Body,11,1,0,Nykaa,2016-10-01-2016-10-07
Hair,1,0,0,Nykaa,2016-10-01-2016-10-07
Hair,1,1,0,Nykaa,2016-10-01-2016-10-07
Hair,1,0,0,Nykaa,2016-10-01-2016-10-07
Hair,11,1,0,Nykaa,2016-10-01-2016-10-07
Skin,4,0,0,Nykaa,2016-10-01-2016-10-07
Skin,1,0,0,Nykaa,2016-10-01-2016-10-07
Skin,1,0,0,Nykaa,2016-10-01-2016-10-07
Skin,11,1,0,Nykaa,2016-10-01-2016-10-07
Makeup,4,1,0,Nykaa,2016-10-01-2016-10-07
Beauty & Personal care,1,1,0,SnapDeal,2016-10-01-2016-10-07
Beauty & Personal care,1,0,0,SnapDeal,2016-10-01-2016-10-07
Makeup,1,1,0,Nykaa,2016-10-01-2016-10-07
Beauty & Personal care,1,0,0,SnapDeal,2016-10-01-2016-10-07
Home Page,0,0,0,BigBasket-BLR,2016-10-01-2016-10-07
Makeup,1,0,0,Nykaa,2016-10-01-2016-10-07
Home Page,0,0,0,BigBasket-BLR,2016-10-01-2016-10-07
Makeup,11,1,0,Nykaa,2016-10-01-2016-10-07
offers,1,0,0,SnapDeal,2016-10-01-2016-10-07
offers,1,0,0,SnapDeal,2016-10-01-2016-10-07
offers,1,0,0,SnapDeal,2016-10-01-2016-10-07
offers,0,0,0,SnapDeal,2016-10-01-2016-10-07
Home Page,1,0,0,BigBasket-BLR,2016-10-01-2016-10-07
Home Page,1,1,0,BigBasket-BLR,2016-10-01-2016-10-07
Home Page,2,0,0,Amazon,2016-10-01-2016-10-07
Home Page,0,0,0,Amazon,2016-10-01-2016-10-07
Home Page,0,0,0,Amazon,2016-10-01-2016-10-07
Personal Care-Personal Hygiene,1,0,0,BigBasket-BLR,2016-10-01-2016-10-07
Personal Care-Personal Hygiene,1,1,0,BigBasket-BLR,2016-10-01-2016-10-07
Personal Care,1,0,0,BigBasket-BLR,2016-10-01-2016-10-07
Personal Care,1,0,0,BigBasket-BLR,2016-10-01-2016-10-07
Personal Care,1,1,0,BigBasket-BLR,2016-10-01-2016-10-07
Personal Care,1,0,1,BigBasket-BLR,2016-10-01-2016-10-07
Household,1,0,0,BigBasket-BLR,2016-10-01-2016-10-07
Household,1,0,1,BigBasket-BLR,2016-10-01-2016-10-07
Household,1,0,0,BigBasket-BLR,2016-10-01-2016-10-07
Beauty & Personal care,1,0,0,SnapDeal,2016-10-01-2016-10-07
Home Page,0,0,0,Amazon,2016-10-01-2016-10-07
Home page,0,0,0,SnapDeal,2016-10-01-2016-10-07
Home Page,1,0,0,Amazon,2016-10-01-2016-10-07
Home Page,0,0,0,Amazon,2016-10-01-2016-10-07
Home Page,2,0,0,Amazon,2016-10-01-2016-10-07
Home page,1,0,0,SnapDeal,2016-10-01-2016-10-07
Home page,1,0,0,SnapDeal,2016-10-01-2016-10-07
Home Page,1,0,0,Nykaa,2016-10-01-2016-10-07
Home Page,0,0,0,Amazon,2016-10-01-2016-10-07
Household Supplies,1,1,0,Amazon,2016-10-01-2016-10-07
Household Supplies,1,0,1,Amazon,2016-10-01-2016-10-07
Household Supplies,1,1,0,Amazon,2016-10-01-2016-10-07
Household Supplies,1,1,0,Amazon,2016-10-01-2016-10-07
Household Supplies,5,2,0,Amazon,2016-10-01-2016-10-07
Household Supplies,2,0,0,Amazon,2016-10-01-2016-10-07
Household Supplies,1,1,0,Amazon,2016-10-01-2016-10-07
Amazon Pantry,4,0,0,Amazon,2016-10-01-2016-10-07
Amazon Pantry,5,3,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,1,0,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,1,0,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,1,0,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,1,0,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,1,1,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,1,0,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,1,1,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,1,1,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,0,0,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,1,0,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,0,0,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,1,1,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,1,0,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,2,0,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,1,0,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,3,1,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,1,0,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,1,1,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,1,0,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,0,0,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,2,0,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,1,1,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,1,1,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,1,0,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,1,0,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,1,0,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,4,1,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,1,0,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,4,4,0,Amazon,2016-10-01-2016-10-07
Fragrance,1,1,0,Amazon,2016-10-01-2016-10-07
Make up & Nails,1,0,0,Amazon,2016-10-01-2016-10-07
Make up & Nails,1,0,0,Amazon,2016-10-01-2016-10-07
Make up & Nails,1,1,0,Amazon,2016-10-01-2016-10-07
Make up & Nails,1,0,0,Amazon,2016-10-01-2016-10-07
Home Page,0,0,0,Amazon,2016-10-01-2016-10-07
Home Page,1,0,0,Amazon,2016-10-01-2016-10-07
Home Page,1,0,0,Amazon,2016-10-01-2016-10-07
Home Page,0,0,0,Amazon,2016-10-01-2016-10-07
Home Page,0,0,0,Amazon,2016-10-01-2016-10-07
Home Page,0,0,0,Amazon,2016-10-01-2016-10-07
Home Page,1,0,0,Amazon,2016-10-01-2016-10-07
Home Page,0,0,0,Amazon,2016-10-01-2016-10-07
Home Page,0,0,0,Amazon,2016-10-01-2016-10-07
Skin Care,1,0,0,Amazon,2016-10-01-2016-10-07
Skin Care,1,0,0,Amazon,2016-10-01-2016-10-07
Skin Care,1,0,0,Amazon,2016-10-01-2016-10-07
Beauty Page,1,0,0,Amazon,2016-10-01-2016-10-07
Beauty Page,0,0,0,Amazon,2016-10-01-2016-10-07
Home page,0,0,0,SnapDeal,2016-10-01-2016-10-07
Home page,0,0,0,SnapDeal,2016-10-01-2016-10-07
Home page,1,0,0,SnapDeal,2016-10-01-2016-10-07
Home page,2,0,0,SnapDeal,2016-10-01-2016-10-07
Home page,0,0,0,SnapDeal,2016-10-01-2016-10-07
Home Page,3,0,0,Amazon,2016-10-01-2016-10-07
Home Page,0,0,0,Amazon,2016-10-01-2016-10-07
Home Page,1,0,1,Amazon,2016-10-01-2016-10-07
Home Page,1,0,0,Amazon,2016-10-01-2016-10-07
Mens Grooming,1,0,0,Amazon,2016-10-01-2016-10-07
Mens Grooming,1,0,0,Amazon,2016-10-01-2016-10-07
Home Page,2,0,0,Amazon,2016-10-01-2016-10-07
Home Page,1,0,0,Amazon,2016-10-01-2016-10-07
Home Page,1,0,0,Amazon,2016-10-01-2016-10-07
Home Page,0,0,0,Amazon,2016-10-01-2016-10-07
Home page,0,0,0,SnapDeal,2016-10-01-2016-10-07
Home Page,6,3,1,Amazon,2016-10-01-2016-10-07
Home Page,0,0,0,Amazon,2016-10-01-2016-10-07
Home page,0,0,0,SnapDeal,2016-10-01-2016-10-07
Fragrance,0,0,0,Amazon,2016-10-01-2016-10-07
Make up & Nails,0,0,0,Amazon,2016-10-01-2016-10-07
Bath & Shower,0,0,0,Amazon,2016-10-01-2016-10-07
Hair Care & Styling,1,0,0,Amazon,2016-10-01-2016-10-07
Hair Care & Styling,1,0,1,Amazon,2016-10-01-2016-10-07
Hair Care & Styling,0,0,0,Amazon,2016-10-01-2016-10-07
Hair Care & Styling,1,0,1,Amazon,2016-10-01-2016-10-07
Home Page,2,0,1,Amazon,2016-10-01-2016-10-07
Home Page,1,0,0,Amazon,2016-10-01-2016-10-07
Beauty Page,0,0,0,Amazon,2016-10-01-2016-10-07
Home Page,0,0,0,SnapDeal,2016-10-01-2016-10-07
Food & Gourment,2,0,0,SnapDeal,2016-10-01-2016-10-07
Home Page,1,1,0,BigBasket-BLR,2016-10-01-2016-10-07
Home Page,1,1,0,BigBasket-BLR,2016-10-01-2016-10-07
Home Page,3,3,0,BigBasket-BLR,2016-10-01-2016-10-07
Home Page,1,1,0,BigBasket-BLR,2016-10-01-2016-10-07
Home Page,1,1,0,BigBasket-BLR,2016-10-01-2016-10-07
Home Page,1,0,0,Amazon,2016-10-01-2016-10-07
Home Page,0,0,0,Amazon,2016-10-01-2016-10-07
Home page,0,0,0,SnapDeal,2016-10-01-2016-10-07
Home Page,1,0,0,Amazon,2016-10-01-2016-10-07
Home Page,1,0,0,Amazon,2016-10-01-2016-10-07
Home Page,1,0,0,Amazon,2016-10-01-2016-10-07
Home Page,0,0,0,Amazon,2016-10-01-2016-10-07
Home Page,0,0,0,Amazon,2016-10-01-2016-10-07
Home page,1,0,0,SnapDeal,2016-10-01-2016-10-07
Home Page,0,0,0,Amazon,2016-10-01-2016-10-07
Home Page,0,0,0,Amazon,2016-10-01-2016-10-07
Home Page,1,0,0,Amazon,2016-10-01-2016-10-07
Home Page,1,0,0,Amazon,2016-10-01-2016-10-07
Home page,0,0,0,SnapDeal,2016-10-01-2016-10-07
